id_material,titulo,tipo,area,nivel,descricao,autor
74,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
75,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
76,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
77,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
78,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
79,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
80,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
81,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
82,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
83,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
84,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
85,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
86,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
87,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
88,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
89,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
90,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
91,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
92,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
93,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
94,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
95,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
96,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
97,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
98,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
99,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
100,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
101,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
102,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
103,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
104,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
105,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
106,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
107,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
108,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
109,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
110,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
111,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
112,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
113,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
114,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
115,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
116,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
117,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
118,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
119,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
120,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
121,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
122,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
123,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
124,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
125,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
126,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
127,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
128,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
129,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
130,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
131,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
132,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
133,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
134,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
135,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
136,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
137,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
138,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
139,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
140,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
141,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
142,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
143,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
144,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
145,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
146,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
147,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
148,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
149,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
150,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
151,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
152,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
153,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
154,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
155,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
156,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
157,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
158,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
159,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
160,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
161,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
162,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
163,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
164,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
165,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
166,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
167,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
168,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
169,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
170,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
171,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
172,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
173,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
174,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
175,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
176,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
177,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
178,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
179,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
180,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
181,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
182,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
183,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
184,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
185,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
186,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
187,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
188,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
189,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
190,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
191,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
192,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
193,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
194,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
195,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
196,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
197,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
198,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
199,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
200,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
201,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
202,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
203,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
204,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
205,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
206,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
207,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
208,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
209,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
210,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
211,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
212,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
213,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
214,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
215,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
216,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
217,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
218,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
219,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
220,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
221,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
222,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
223,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
224,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
225,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
226,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
227,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
228,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
229,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
230,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
231,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
232,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
233,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
234,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
235,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
236,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
237,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
238,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
239,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
240,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
241,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
242,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
243,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
244,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
245,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
246,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
247,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
248,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
249,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
250,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
251,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
252,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
253,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
254,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
255,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
256,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
257,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
258,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
259,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
260,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
261,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
262,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
263,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
264,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
265,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
266,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
267,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
268,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
269,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
270,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
271,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
272,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
273,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
274,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
275,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
276,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
277,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
278,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
279,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
280,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
281,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
282,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
283,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
284,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
285,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
286,Gestão Ágil,artigo,Gestão,Intermediário,Metodologias ágeis para gerentes,Jeff Sutherland
287,Segurança em Redes,livro,Segurança,Avançado,Protegendo infraestruturas de rede,William Stallings
288,UX Moderno,artigo,UX,Intermediário,Princípios de design centrado no usuário,Don Norman
289,Banco de Dados NoSQL,livro,BD,Intermediário,Bancos não relacionais modernos,Martin Fowler
290,IoT Prático,vídeo,IoT,Iniciante,Projetos práticos de Internet das Coisas,Adafruit
291,Introdução a Algoritmos,livro,Programação,Iniciante,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen
292,Aprendendo Python,livro,Programação,Iniciante,Guia completo para iniciantes em Python,Eric Matthes
293,ML Avançado,livro,IA,Avançado,Técnicas avançadas de machine learning,Aurélien Géron
294,Estatística Básica,livro,Estatística,Iniciante,Conceitos fundamentais de estatística,Mario Triola
295,Deep Learning,vídeo,IA,Intermediário,Série sobre redes neurais profundas,Andrew Ng
